SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Trails/Paths,Wading Pool
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-25 17:00:00,25.0,,15.0,16.0,20.0,8.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 17:00:00,2.0,,4.0,6.0,57.0,3.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 18:00:00,0.0,,8.0,9.0,12.0,0.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 19:00:00,26.0,,8.0,16.0,15.0,4.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 20:00:00,20.0,,2.0,48.0,13.0,5.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-26 21:00:00,20.0,,7.0,51.0,10.0,2.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 12:00:00,23.0,,19.0,14.0,16.0,4.0,26.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 13:00:00,22.0,,8.0,16.0,12.0,20.0,3.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 14:00:00,17.0,,9.0,22.0,0.0,12.0,17.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 15:00:00,21.0,,5.0,12.0,26.0,20.0,28.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 16:00:00,5.0,,1.0,20.0,18.0,18.0,7.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 17:00:00,12.0,,9.0,27.0,11.0,22.0,10.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 18:00:00,21.0,,21.0,27.0,7.0,21.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 19:00:00,10.0,,28.0,10.0,8.0,17.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-27 20:00:00,,,2.0,3.0,3.0,2.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-28 17:00:00,,,6.0,2.0,,,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-28 18:00:00,,,8.0,5.0,10.0,,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-28 19:00:00,2.0,,4.0,2.0,4.0,3.0,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-28 20:00:00,8.0,,8.0,3.0,8.0,2.0,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-28 21:00:00,,,6.0,2.0,,,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-29 17:00:00,,,1.0,4.0,12.0,0.0,9.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-29 18:00:00,10.0,,8.0,4.0,18.0,9.0,7.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-29 19:00:00,45.0,,6.0,10.0,17.0,5.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-29 20:00:00,60.0,,12.0,8.0,23.0,7.0,5.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 12:00:00,3.0,,18.0,9.0,8.0,22.0,19.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 17:00:00,,,,,4.0,3.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 18:00:00,,,,,10.0,2.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 19:00:00,4.0,,23.0,19.0,0.0,9.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 20:00:00,10.0,,15.0,10.0,25.0,2.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_2_2017_Location_E_TypeA_,2017-06-30 21:00:00,18.0,,28.0,20.0,13.0,1.0,2.0
